Order_ID,Date,Time,Order_Type,Product_Id,Price,Quantity,Item_Subtotal,Order_Subtotal,Delivery_Charge,Order_Total
a100,27-10-2024,13:00,Dine-in,181,59,1,59,59,0,59
a101,27-10-2024,13:06,Takeaway,102,79,3,237,237,0,237
a102,27-10-2024,13:13,Takeaway,115,159,1,159,159,0,159
a103,27-10-2024,13:23,Takeaway,192,99,1,99,99,0,99
a104,27-10-2024,13:36,Takeaway,180,59,1,59,59,0,59
a105,27-10-2024,13:50,Dine-in,189,69,1,69,69,0,69
a106,27-10-2024,14:01,Dine-in,251,19,4,76,343,0,343
a106,27-10-2024,14:01,Dine-in,105,89,3,267,343,0,343
a107,27-10-2024,14:10,Takeaway,214,99,3,297,297,0,297
a108,27-10-2024,14:19,Takeaway,132,129,1,129,318,0,318
a108,27-10-2024,14:19,Takeaway,138,189,1,189,318,0,318
a109,27-10-2024,14:27,Takeaway,101,69,4,276,276,0,276
a110,27-10-2024,14:35,Delivery,127,119,1,119,337,0,337
a110,27-10-2024,14:35,Delivery,126,109,2,218,337,0,337
a111,27-10-2024,14:41,Takeaway,108,109,3,327,327,0,327
a112,27-10-2024,14:56,Delivery,133,149,1,149,297,0,297
a112,27-10-2024,14:56,Delivery,183,89,1,89,297,0,297
a112,27-10-2024,14:56,Delivery,260,59,1,59,297,0,297
a113,27-10-2024,15:02,Delivery,282,59,1,59,59,20,79
a114,27-10-2024,15:09,Delivery,177,49,2,98,98,20,118
a115,27-10-2024,15:15,Delivery,269,25,1,25,83,20,103
a115,27-10-2024,15:15,Delivery,254,29,2,58,83,20,103
a117,27-10-2024,15:29,Dine-in,132,129,1,129,129,0,129
a118,27-10-2024,15:34,Dine-in,181,59,2,118,118,0,118
a119,27-10-2024,15:40,Dine-in,103,79,4,316,316,0,316
a120,27-10-2024,15:55,Takeaway,278,59,1,59,277,0,277
a120,27-10-2024,15:55,Takeaway,126,109,2,218,277,0,277
a121,27-10-2024,16:00,Takeaway,117,119,1,119,119,0,119
a122,27-10-2024,16:07,Dine-in,106,99,3,297,297,0,297
a124,27-10-2024,16:34,Delivery,199,59,1,59,335,0,335
a124,27-10-2024,16:34,Delivery,188,69,1,69,335,0,335
a124,27-10-2024,16:34,Delivery,101,69,3,207,335,0,335
a125,27-10-2024,16:41,Takeaway,252,25,3,75,124,0,124
a125,27-10-2024,16:41,Takeaway,198,49,1,49,124,0,124
a126,27-10-2024,16:56,Dine-in,181,59,3,177,177,0,177
a127,27-10-2024,17:11,Dine-in,110,119,2,238,238,0,238
a128,27-10-2024,17:26,Dine-in,241,49,3,147,147,0,147
a129,27-10-2024,17:41,Delivery,279,59,2,118,316,0,316
a129,27-10-2024,17:41,Delivery,106,99,2,198,316,0,316
a130,27-10-2024,17:56,Dine-in,236,119,1,119,119,0,119
a131,27-10-2024,18:05,Dine-in,189,69,3,207,207,0,207
a132,27-10-2024,18:15,Dine-in,129,119,2,238,238,0,238
a133,27-10-2024,18:24,Delivery,108,109,3,327,327,0,327
a134,27-10-2024,18:34,Delivery,162,249,1,249,328,0,328
a134,27-10-2024,18:34,Delivery,104,79,1,79,328,0,328
a135,27-10-2024,18:44,Takeaway,130,129,2,258,258,0,258
a136,27-10-2024,18:54,Dine-in,127,119,2,238,238,0,238
a137,27-10-2024,19:02,Delivery,183,89,2,178,178,10,188
a138,27-10-2024,19:09,Delivery,109,109,1,109,109,10,119
a140,27-10-2024,19:21,Dine-in,267,59,4,236,236,0,236
a141,27-10-2024,19:33,Takeaway,104,79,1,79,179,0,179
a141,27-10-2024,19:33,Takeaway,269,25,4,100,179,0,179
a142,27-10-2024,19:39,Dine-in,115,159,1,159,328,0,328
a142,27-10-2024,19:39,Dine-in,116,169,1,169,328,0,328
a143,27-10-2024,19:48,Takeaway,177,49,2,98,98,0,98
a144,27-10-2024,19:56,Takeaway,128,119,1,119,119,0,119
a145,27-10-2024,20:03,Delivery,182,79,2,158,158,10,168
a146,27-10-2024,20:10,Takeaway,138,189,1,189,348,0,348
a146,27-10-2024,20:10,Takeaway,135,159,1,159,348,0,348
a147,27-10-2024,20:23,Dine-in,179,59,4,236,236,0,236
a148,27-10-2024,20:29,Dine-in,247,99,3,297,297,0,297
a149,27-10-2024,20:40,Delivery,186,49,2,98,98,20,118
a150,27-10-2024,20:49,Delivery,123,169,2,338,338,0,338
a152,27-10-2024,21:14,Delivery,124,179,1,179,179,10,189
a153,27-10-2024,21:26,Dine-in,103,79,4,316,316,0,316
a154,27-10-2024,21:34,Dine-in,290,99,1,99,295,0,295
a154,27-10-2024,21:34,Dine-in,176,49,4,196,295,0,295
a155,27-10-2024,21:47,Dine-in,160,229,1,229,229,0,229
a156,27-10-2024,22:01,Delivery,174,339,1,339,339,0,339
a157,27-10-2024,22:07,Dine-in,160,229,1,229,248,0,248
a157,27-10-2024,22:07,Dine-in,251,19,1,19,248,0,248
a158,27-10-2024,22:21,Dine-in,184,89,1,89,89,0,89
a159,27-10-2024,22:28,Dine-in,101,69,1,69,69,0,69
a160,27-10-2024,22:42,Delivery,136,169,2,338,338,0,338
a161,27-10-2024,22:54,Delivery,216,99,3,297,297,0,297
a163,27-10-2024,23:16,Takeaway,148,259,1,259,259,0,259
a164,27-10-2024,23:24,Delivery,183,89,3,267,267,0,267
a165,27-10-2024,23:35,Delivery,136,169,2,338,338,0,338
a166,27-10-2024,23:42,Delivery,109,109,2,218,218,0,218
a167,27-10-2024,23:50,Dine-in,190,79,3,237,237,0,237
a168,27-10-2024,23:55,Delivery,165,289,1,289,289,0,289
a169,27-10-2024,0:09,Delivery,264,49,4,196,196,10,206
a170,27-10-2024,0:18,Takeaway,180,59,2,118,118,0,118
a171,27-10-2024,0:25,Delivery,261,49,3,147,147,10,157
a172,27-10-2024,0:33,Delivery,263,49,4,196,196,10,206
a173,27-10-2024,0:40,Delivery,181,59,2,118,265,0,265
a173,27-10-2024,0:40,Delivery,261,49,3,147,265,0,265
a174,27-10-2024,0:50,Dine-in,184,89,2,178,178,0,178
a175,27-10-2024,0:55,Delivery,287,79,4,316,316,0,316
a176,27-10-2024,1:06,Delivery,150,279,1,279,279,0,279
a177,27-10-2024,1:11,Takeaway,166,299,1,299,299,0,299
a179,27-10-2024,1:34,Delivery,270,29,1,29,278,0,278
a179,27-10-2024,1:34,Delivery,146,249,1,249,278,0,278
a180,27-10-2024,1:48,Takeaway,181,59,3,177,177,0,177
a181,27-10-2024,2:03,Delivery,186,49,1,49,188,10,198
a181,27-10-2024,2:03,Delivery,230,139,1,139,188,10,198
a182,27-10-2024,2:18,Dine-in,120,139,2,278,278,0,278
a183,27-10-2024,2:31,Takeaway,118,129,2,258,258,0,258
a184,27-10-2024,2:46,Dine-in,176,49,4,196,325,0,325
a184,27-10-2024,2:46,Dine-in,211,129,1,129,325,0,325
a185,27-10-2024,2:53,Dine-in,264,49,1,49,138,0,138
a185,27-10-2024,2:53,Dine-in,185,89,1,89,138,0,138
a186,27-10-2024,3:08,Delivery,172,299,1,299,299,0,299
a187,27-10-2024,3:16,Dine-in,176,49,3,147,147,0,147
a188,27-10-2024,3:27,Takeaway,108,109,3,327,327,0,327
a189,28-10-2024,13:00,Dine-in,246,99,3,297,297,0,297
a190,28-10-2024,13:07,Delivery,105,89,3,267,267,0,267
a191,28-10-2024,13:22,Takeaway,188,69,1,69,69,0,69
a192,28-10-2024,13:32,Delivery,142,189,1,189,189,10,199
a193,28-10-2024,13:44,Dine-in,180,59,4,236,236,0,236
a194,28-10-2024,13:50,Delivery,142,189,1,189,189,10,199
a195,28-10-2024,13:58,Takeaway,183,89,2,178,277,0,277
a195,28-10-2024,13:58,Takeaway,192,99,1,99,277,0,277
a196,28-10-2024,14:08,Takeaway,189,69,3,207,207,0,207
a197,28-10-2024,14:14,Takeaway,102,79,4,316,316,0,316
a198,28-10-2024,14:24,Dine-in,186,49,1,49,49,0,49
a199,28-10-2024,14:39,Delivery,229,149,1,149,338,0,338
a199,28-10-2024,14:39,Delivery,125,189,1,189,338,0,338
a200,28-10-2024,14:46,Takeaway,166,299,1,299,299,0,299
a201,28-10-2024,15:01,Takeaway,153,189,1,189,189,0,189
a202,28-10-2024,15:12,Dine-in,188,69,1,69,69,0,69
a203,28-10-2024,15:21,Delivery,267,59,2,118,118,10,128
a204,28-10-2024,15:29,Delivery,168,259,1,259,348,0,348
a204,28-10-2024,15:29,Delivery,183,89,1,89,348,0,348
a205,28-10-2024,15:38,Dine-in,102,79,1,79,79,0,79
a206,28-10-2024,15:47,Takeaway,101,69,1,69,216,0,216
a206,28-10-2024,15:47,Takeaway,194,49,3,147,216,0,216
a207,28-10-2024,15:58,Delivery,146,249,1,249,249,0,249
a208,28-10-2024,16:07,Takeaway,132,129,2,258,258,0,258
a209,28-10-2024,16:18,Delivery,113,139,1,139,139,10,149
a210,28-10-2024,16:23,Takeaway,206,79,3,237,237,0,237
a211,28-10-2024,16:37,Dine-in,250,59,1,59,59,0,59
a212,28-10-2024,16:43,Dine-in,187,59,2,118,118,0,118
a213,28-10-2024,16:50,Takeaway,269,25,1,25,183,0,183
a213,28-10-2024,16:50,Takeaway,103,79,2,158,183,0,183
a214,28-10-2024,17:05,Dine-in,184,89,2,178,257,0,257
a214,28-10-2024,17:05,Dine-in,182,79,1,79,257,0,257
a215,28-10-2024,17:20,Takeaway,111,129,1,129,325,0,325
a215,28-10-2024,17:20,Takeaway,178,49,4,196,325,0,325
a216,28-10-2024,17:35,Delivery,224,139,2,278,278,0,278
a217,28-10-2024,17:48,Delivery,189,69,2,138,138,10,148
a218,28-10-2024,17:57,Dine-in,128,119,1,119,119,0,119
a219,28-10-2024,18:04,Dine-in,179,59,1,59,308,0,308
a219,28-10-2024,18:04,Dine-in,146,249,1,249,308,0,308
a220,28-10-2024,18:09,Dine-in,161,239,1,239,239,0,239
a221,28-10-2024,18:18,Delivery,269,25,4,100,329,0,329
a221,28-10-2024,18:18,Delivery,141,229,1,229,329,0,329
a222,28-10-2024,18:25,Takeaway,183,89,1,89,89,0,89
a223,28-10-2024,18:38,Takeaway,181,59,1,59,276,0,276
a223,28-10-2024,18:38,Takeaway,235,99,1,99,276,0,276
