Date,Total_Deliveries,Total_Delivery_Fees
2024-10-27,33,200
2024-10-28,23,140
2024-10-29,27,190
2024-10-30,24,170
2024-10-31,26,90
2024-11-01,23,140
2024-11-02,27,160
2024-11-03,34,240
2024-11-04,31,290
2024-11-05,17,130
2024-11-06,21,190
2024-11-07,26,70
2024-11-08,24,110
2024-11-09,29,220
2024-11-10,21,170
2024-11-11,27,140
2024-11-12,28,200
2024-11-13,14,90
2024-11-14,20,90
2024-11-15,19,40
2024-11-16,33,280
2024-11-17,30,180
2024-11-18,25,140
2024-11-19,25,180
2024-11-20,30,200
2024-11-21,22,170
2024-11-22,26,140
2024-11-23,37,220
2024-11-24,34,190
2024-11-25,33,220
2024-11-26,14,70
2024-11-27,31,230
2024-11-28,35,250
2024-11-29,24,130
2024-11-30,29,190
2024-12-01,30,210
2024-12-02,24,80
2024-12-03,31,230
2024-12-04,29,230
2024-12-05,23,100
2024-12-06,27,270
2024-12-07,31,180
2024-12-08,30,170
2024-12-09,36,250
2024-12-10,25,170
2024-12-11,20,110
2024-12-12,26,230
2024-12-13,27,150
2024-12-14,31,150
2024-12-15,23,140
2024-12-16,22,140
2024-12-17,31,130
2024-12-18,27,160
2024-12-19,31,210
2024-12-20,23,130
2024-12-21,31,190
2024-12-22,25,160
2024-12-23,22,130
2024-12-24,25,140
2024-12-25,19,150
