Order_ID,Date,Time,Order_Type,Product_Id,Price,Quantity,Item_Subtotal,Order_Subtotal,Delivery_Charge,Order_Total
a100,2024-10-27,13:00,Dine-in,181,59,1,59,59,0,59
a101,2024-10-27,13:06,Takeaway,102,79,3,237,237,0,237
a102,2024-10-27,13:13,Takeaway,115,159,1,159,159,0,159
a103,2024-10-27,13:23,Takeaway,192,99,1,99,99,0,99
a104,2024-10-27,13:36,Takeaway,180,59,1,59,59,0,59
a105,2024-10-27,13:50,Dine-in,189,69,1,69,69,0,69
a106,2024-10-27,14:01,Dine-in,251,19,4,76,343,0,343
a106,2024-10-27,14:01,Dine-in,105,89,3,267,343,0,343
a107,2024-10-27,14:10,Takeaway,214,99,3,297,297,0,297
a108,2024-10-27,14:19,Takeaway,132,129,1,129,318,0,318
a108,2024-10-27,14:19,Takeaway,138,189,1,189,318,0,318
a109,2024-10-27,14:27,Takeaway,101,69,4,276,276,0,276
a110,2024-10-27,14:35,Delivery,127,119,1,119,337,0,337
a110,2024-10-27,14:35,Delivery,126,109,2,218,337,0,337
a111,2024-10-27,14:41,Takeaway,108,109,3,327,327,0,327
a112,2024-10-27,14:56,Delivery,133,149,1,149,297,0,297
a112,2024-10-27,14:56,Delivery,183,89,1,89,297,0,297
a112,2024-10-27,14:56,Delivery,260,59,1,59,297,0,297
a113,2024-10-27,15:02,Delivery,282,59,1,59,59,20,79
a114,2024-10-27,15:09,Delivery,177,49,2,98,98,20,118
a115,2024-10-27,15:15,Delivery,269,25,1,25,83,20,103
a115,2024-10-27,15:15,Delivery,254,29,2,58,83,20,103
a117,2024-10-27,15:29,Dine-in,132,129,1,129,129,0,129
a118,2024-10-27,15:34,Dine-in,181,59,2,118,118,0,118
a119,2024-10-27,15:40,Dine-in,103,79,4,316,316,0,316
a120,2024-10-27,15:55,Takeaway,278,59,1,59,277,0,277
a120,2024-10-27,15:55,Takeaway,126,109,2,218,277,0,277
a121,2024-10-27,16:00,Takeaway,117,119,1,119,119,0,119
a122,2024-10-27,16:07,Dine-in,106,99,3,297,297,0,297
a124,2024-10-27,16:34,Delivery,199,59,1,59,335,0,335
a124,2024-10-27,16:34,Delivery,188,69,1,69,335,0,335
a124,2024-10-27,16:34,Delivery,101,69,3,207,335,0,335
a125,2024-10-27,16:41,Takeaway,252,25,3,75,124,0,124
a125,2024-10-27,16:41,Takeaway,198,49,1,49,124,0,124
a126,2024-10-27,16:56,Dine-in,181,59,3,177,177,0,177
a127,2024-10-27,17:11,Dine-in,110,119,2,238,238,0,238
a128,2024-10-27,17:26,Dine-in,241,49,3,147,147,0,147
a129,2024-10-27,17:41,Delivery,279,59,2,118,316,0,316
a129,2024-10-27,17:41,Delivery,106,99,2,198,316,0,316
a130,2024-10-27,17:56,Dine-in,236,119,1,119,119,0,119
a131,2024-10-27,18:05,Dine-in,189,69,3,207,207,0,207
a132,2024-10-27,18:15,Dine-in,129,119,2,238,238,0,238
a133,2024-10-27,18:24,Delivery,108,109,3,327,327,0,327
a134,2024-10-27,18:34,Delivery,162,249,1,249,328,0,328
a134,2024-10-27,18:34,Delivery,104,79,1,79,328,0,328
a135,2024-10-27,18:44,Takeaway,130,129,2,258,258,0,258
a136,2024-10-27,18:54,Dine-in,127,119,2,238,238,0,238
a137,2024-10-27,19:02,Delivery,183,89,2,178,178,10,188
a138,2024-10-27,19:09,Delivery,109,109,1,109,109,10,119
a140,2024-10-27,19:21,Dine-in,267,59,4,236,236,0,236
a141,2024-10-27,19:33,Takeaway,104,79,1,79,179,0,179
a141,2024-10-27,19:33,Takeaway,269,25,4,100,179,0,179
a142,2024-10-27,19:39,Dine-in,115,159,1,159,328,0,328
a142,2024-10-27,19:39,Dine-in,116,169,1,169,328,0,328
a143,2024-10-27,19:48,Takeaway,177,49,2,98,98,0,98
a144,2024-10-27,19:56,Takeaway,128,119,1,119,119,0,119
a145,2024-10-27,20:03,Delivery,182,79,2,158,158,10,168
a146,2024-10-27,20:10,Takeaway,138,189,1,189,348,0,348
a146,2024-10-27,20:10,Takeaway,135,159,1,159,348,0,348
a147,2024-10-27,20:23,Dine-in,179,59,4,236,236,0,236
a148,2024-10-27,20:29,Dine-in,247,99,3,297,297,0,297
a149,2024-10-27,20:40,Delivery,186,49,2,98,98,20,118
a150,2024-10-27,20:49,Delivery,123,169,2,338,338,0,338
a152,2024-10-27,21:14,Delivery,124,179,1,179,179,10,189
a153,2024-10-27,21:26,Dine-in,103,79,4,316,316,0,316
a154,2024-10-27,21:34,Dine-in,290,99,1,99,295,0,295
a154,2024-10-27,21:34,Dine-in,176,49,4,196,295,0,295
a155,2024-10-27,21:47,Dine-in,160,229,1,229,229,0,229
a156,2024-10-27,22:01,Delivery,174,339,1,339,339,0,339
a157,2024-10-27,22:07,Dine-in,160,229,1,229,248,0,248
a157,2024-10-27,22:07,Dine-in,251,19,1,19,248,0,248
a158,2024-10-27,22:21,Dine-in,184,89,1,89,89,0,89
a159,2024-10-27,22:28,Dine-in,101,69,1,69,69,0,69
a160,2024-10-27,22:42,Delivery,136,169,2,338,338,0,338
a161,2024-10-27,22:54,Delivery,216,99,3,297,297,0,297
a163,2024-10-27,23:16,Takeaway,148,259,1,259,259,0,259
a164,2024-10-27,23:24,Delivery,183,89,3,267,267,0,267
a165,2024-10-27,23:35,Delivery,136,169,2,338,338,0,338
a166,2024-10-27,23:42,Delivery,109,109,2,218,218,0,218
a167,2024-10-27,23:50,Dine-in,190,79,3,237,237,0,237
a168,2024-10-27,23:55,Delivery,165,289,1,289,289,0,289
a169,2024-10-27,00:09,Delivery,264,49,4,196,196,10,206
a170,2024-10-27,00:18,Takeaway,180,59,2,118,118,0,118
a171,2024-10-27,00:25,Delivery,261,49,3,147,147,10,157
a172,2024-10-27,00:33,Delivery,263,49,4,196,196,10,206
a173,2024-10-27,00:40,Delivery,181,59,2,118,265,0,265
a173,2024-10-27,00:40,Delivery,261,49,3,147,265,0,265
a174,2024-10-27,00:50,Dine-in,184,89,2,178,178,0,178
a175,2024-10-27,00:55,Delivery,287,79,4,316,316,0,316
a176,2024-10-27,01:06,Delivery,150,279,1,279,279,0,279
a177,2024-10-27,01:11,Takeaway,166,299,1,299,299,0,299
a179,2024-10-27,01:34,Delivery,270,29,1,29,278,0,278
a179,2024-10-27,01:34,Delivery,146,249,1,249,278,0,278
a180,2024-10-27,01:48,Takeaway,181,59,3,177,177,0,177
a181,2024-10-27,02:03,Delivery,186,49,1,49,188,10,198
a181,2024-10-27,02:03,Delivery,230,139,1,139,188,10,198
a182,2024-10-27,02:18,Dine-in,120,139,2,278,278,0,278
a183,2024-10-27,02:31,Takeaway,118,129,2,258,258,0,258
a184,2024-10-27,02:46,Dine-in,176,49,4,196,325,0,325
a184,2024-10-27,02:46,Dine-in,211,129,1,129,325,0,325
a185,2024-10-27,02:53,Dine-in,264,49,1,49,138,0,138
a185,2024-10-27,02:53,Dine-in,185,89,1,89,138,0,138
a186,2024-10-27,03:08,Delivery,172,299,1,299,299,0,299
a187,2024-10-27,03:16,Dine-in,176,49,3,147,147,0,147
a188,2024-10-27,03:27,Takeaway,108,109,3,327,327,0,327
a189,2024-10-28,13:00,Dine-in,246,99,3,297,297,0,297
a190,2024-10-28,13:07,Delivery,105,89,3,267,267,0,267
a191,2024-10-28,13:22,Takeaway,188,69,1,69,69,0,69
a192,2024-10-28,13:32,Delivery,142,189,1,189,189,10,199
a193,2024-10-28,13:44,Dine-in,180,59,4,236,236,0,236
a194,2024-10-28,13:50,Delivery,142,189,1,189,189,10,199
a195,2024-10-28,13:58,Takeaway,183,89,2,178,277,0,277
a195,2024-10-28,13:58,Takeaway,192,99,1,99,277,0,277
a196,2024-10-28,14:08,Takeaway,189,69,3,207,207,0,207
a197,2024-10-28,14:14,Takeaway,102,79,4,316,316,0,316
a198,2024-10-28,14:24,Dine-in,186,49,1,49,49,0,49
a199,2024-10-28,14:39,Delivery,229,149,1,149,338,0,338
a199,2024-10-28,14:39,Delivery,125,189,1,189,338,0,338
a200,2024-10-28,14:46,Takeaway,166,299,1,299,299,0,299
a201,2024-10-28,15:01,Takeaway,153,189,1,189,189,0,189
a202,2024-10-28,15:12,Dine-in,188,69,1,69,69,0,69
a203,2024-10-28,15:21,Delivery,267,59,2,118,118,10,128
a204,2024-10-28,15:29,Delivery,168,259,1,259,348,0,348
a204,2024-10-28,15:29,Delivery,183,89,1,89,348,0,348
a205,2024-10-28,15:38,Dine-in,102,79,1,79,79,0,79
a206,2024-10-28,15:47,Takeaway,101,69,1,69,216,0,216
a206,2024-10-28,15:47,Takeaway,194,49,3,147,216,0,216
a207,2024-10-28,15:58,Delivery,146,249,1,249,249,0,249
a208,2024-10-28,16:07,Takeaway,132,129,2,258,258,0,258
a209,2024-10-28,16:18,Delivery,113,139,1,139,139,10,149
a210,2024-10-28,16:23,Takeaway,206,79,3,237,237,0,237
a211,2024-10-28,16:37,Dine-in,250,59,1,59,59,0,59
a212,2024-10-28,16:43,Dine-in,187,59,2,118,118,0,118
a213,2024-10-28,16:50,Takeaway,269,25,1,25,183,0,183
a213,2024-10-28,16:50,Takeaway,103,79,2,158,183,0,183
a214,2024-10-28,17:05,Dine-in,184,89,2,178,257,0,257
a214,2024-10-28,17:05,Dine-in,182,79,1,79,257,0,257
a215,2024-10-28,17:20,Takeaway,111,129,1,129,325,0,325
a215,2024-10-28,17:20,Takeaway,178,49,4,196,325,0,325
a216,2024-10-28,17:35,Delivery,224,139,2,278,278,0,278
a217,2024-10-28,17:48,Delivery,189,69,2,138,138,10,148
a218,2024-10-28,17:57,Dine-in,128,119,1,119,119,0,119
a219,2024-10-28,18:04,Dine-in,179,59,1,59,308,0,308
a219,2024-10-28,18:04,Dine-in,146,249,1,249,308,0,308
a220,2024-10-28,18:09,Dine-in,161,239,1,239,239,0,239
a221,2024-10-28,18:18,Delivery,269,25,4,100,329,0,329
